cluster_1	cluster_2	Jaccard	Overlap
dump.out.ecoli60.mci.I60_171	dump.out.ecoli60.mci.I14_17	0.10344827586206896	0.75
dump.out.ecoli60.mci.I60_173	dump.out.ecoli60.mci.I14_10	0.08	1.0
dump.out.ecoli60.mci.I60_174	dump.out.ecoli60.mci.I14_1	0.002803738317757009	0.75
dump.out.ecoli60.mci.I60_175	dump.out.ecoli60.mci.I14_18	0.16666666666666666	1.0
dump.out.ecoli60.mci.I60_176	dump.out.ecoli60.mci.I14_4	0.015267175572519083	1.0
dump.out.ecoli60.mci.I60_177	dump.out.ecoli60.mci.I14_4	0.015267175572519083	1.0
dump.out.ecoli60.mci.I60_178	dump.out.ecoli60.mci.I14_14	0.09302325581395349	1.0
dump.out.ecoli60.mci.I60_179	dump.out.ecoli60.mci.I14_101	1.0	1.0
dump.out.ecoli60.mci.I60_180	dump.out.ecoli60.mci.I14_5	0.0213903743315508	1.0
dump.out.ecoli60.mci.I60_181	dump.out.ecoli60.mci.I14_44	0.4444444444444444	1.0
dump.out.ecoli60.mci.I60_182	dump.out.ecoli60.mci.I14_83	0.8	1.0
dump.out.ecoli60.mci.I60_183	dump.out.ecoli60.mci.I14_5	0.0213903743315508	1.0
dump.out.ecoli60.mci.I60_184	dump.out.ecoli60.mci.I14_5	0.015957446808510637	0.75
dump.out.ecoli60.mci.I60_186	dump.out.ecoli60.mci.I14_105	1.0	1.0
dump.out.ecoli60.mci.I60_187	dump.out.ecoli60.mci.I14_1	0.0037418147801683817	1.0
dump.out.ecoli60.mci.I60_188	dump.out.ecoli60.mci.I14_1	0.0037418147801683817	1.0
dump.out.ecoli60.mci.I60_189	dump.out.ecoli60.mci.I14_1	0.002803738317757009	0.75
dump.out.ecoli60.mci.I60_190	dump.out.ecoli60.mci.I14_45	0.4444444444444444	1.0
dump.out.ecoli60.mci.I60_191	dump.out.ecoli60.mci.I14_6	0.044444444444444446	1.0
dump.out.ecoli60.mci.I60_192	dump.out.ecoli60.mci.I14_12	0.061224489795918366	0.75
dump.out.ecoli60.mci.I60_193	dump.out.ecoli60.mci.I14_7	0.05714285714285714	1.0
dump.out.ecoli60.mci.I60_194	dump.out.ecoli60.mci.I14_2	0.009433962264150943	1.0
dump.out.ecoli60.mci.I60_195	dump.out.ecoli60.mci.I14_2	0.009433962264150943	1.0
dump.out.ecoli60.mci.I60_196	dump.out.ecoli60.mci.I14_5	0.015957446808510637	0.75
dump.out.ecoli60.mci.I60_197	dump.out.ecoli60.mci.I14_108	1.0	1.0
dump.out.ecoli60.mci.I60_198	dump.out.ecoli60.mci.I14_109	1.0	1.0
dump.out.ecoli60.mci.I60_199	dump.out.ecoli60.mci.I14_62	0.5714285714285714	1.0
dump.out.ecoli60.mci.I60_201	dump.out.ecoli60.mci.I14_1	0.0037418147801683817	1.0
dump.out.ecoli60.mci.I60_202	dump.out.ecoli60.mci.I14_18	0.16666666666666666	1.0
dump.out.ecoli60.mci.I60_203	dump.out.ecoli60.mci.I14_2	0.007058823529411765	0.75
dump.out.ecoli60.mci.I60_204	dump.out.ecoli60.mci.I14_1	0.002803738317757009	0.75
dump.out.ecoli60.mci.I60_205	dump.out.ecoli60.mci.I14_1	0.0037418147801683817	1.0
dump.out.ecoli60.mci.I60_206	dump.out.ecoli60.mci.I14_1	0.0037418147801683817	1.0
dump.out.ecoli60.mci.I60_207	dump.out.ecoli60.mci.I14_63	0.375	0.75
dump.out.ecoli60.mci.I60_208	dump.out.ecoli60.mci.I14_14	0.09302325581395349	1.0
dump.out.ecoli60.mci.I60_209	dump.out.ecoli60.mci.I14_1	0.002803738317757009	0.75
dump.out.ecoli60.mci.I60_210	dump.out.ecoli60.mci.I14_75	0.6666666666666666	1.0
dump.out.ecoli60.mci.I60_213	dump.out.ecoli60.mci.I14_111	1.0	1.0
dump.out.ecoli60.mci.I60_214	dump.out.ecoli60.mci.I14_12	0.08333333333333333	1.0
dump.out.ecoli60.mci.I60_215	dump.out.ecoli60.mci.I14_2	0.009433962264150943	1.0
dump.out.ecoli60.mci.I60_216	dump.out.ecoli60.mci.I14_1	0.0037418147801683817	1.0
dump.out.ecoli60.mci.I60_217	dump.out.ecoli60.mci.I14_76	0.6666666666666666	1.0
dump.out.ecoli60.mci.I60_219	dump.out.ecoli60.mci.I14_33	0.36363636363636365	1.0
dump.out.ecoli60.mci.I60_220	dump.out.ecoli60.mci.I14_2	0.009433962264150943	1.0
dump.out.ecoli60.mci.I60_221	dump.out.ecoli60.mci.I14_2	0.007058823529411765	0.75
dump.out.ecoli60.mci.I60_222	dump.out.ecoli60.mci.I14_54	0.5	1.0
dump.out.ecoli60.mci.I60_223	dump.out.ecoli60.mci.I14_26	0.2857142857142857	1.0
dump.out.ecoli60.mci.I60_224	dump.out.ecoli60.mci.I14_16	0.14285714285714285	1.0
dump.out.ecoli60.mci.I60_225	dump.out.ecoli60.mci.I14_23	0.2	1.0
dump.out.ecoli60.mci.I60_226	dump.out.ecoli60.mci.I14_71	0.6666666666666666	1.0
dump.out.ecoli60.mci.I60_227	dump.out.ecoli60.mci.I14_2	0.009433962264150943	1.0
dump.out.ecoli60.mci.I60_228	dump.out.ecoli60.mci.I14_78	0.6666666666666666	1.0
dump.out.ecoli60.mci.I60_229	dump.out.ecoli60.mci.I14_77	0.6666666666666666	1.0
dump.out.ecoli60.mci.I60_230	dump.out.ecoli60.mci.I14_1	0.002803738317757009	0.75
dump.out.ecoli60.mci.I60_231	dump.out.ecoli60.mci.I14_146	0.75	1.0
dump.out.ecoli60.mci.I60_232	dump.out.ecoli60.mci.I14_90	0.8	1.0
dump.out.ecoli60.mci.I60_233	dump.out.ecoli60.mci.I14_10	0.08	1.0
dump.out.ecoli60.mci.I60_234	dump.out.ecoli60.mci.I14_6	0.044444444444444446	1.0
dump.out.ecoli60.mci.I60_235	dump.out.ecoli60.mci.I14_35	0.4	1.0
dump.out.ecoli60.mci.I60_236	dump.out.ecoli60.mci.I14_1	0.0037418147801683817	1.0
dump.out.ecoli60.mci.I60_237	dump.out.ecoli60.mci.I14_67	0.5714285714285714	1.0
dump.out.ecoli60.mci.I60_238	dump.out.ecoli60.mci.I14_2	0.009433962264150943	1.0
dump.out.ecoli60.mci.I60_239	dump.out.ecoli60.mci.I14_2	0.009433962264150943	1.0
dump.out.ecoli60.mci.I60_240	dump.out.ecoli60.mci.I14_22	0.125	0.75
dump.out.ecoli60.mci.I60_241	dump.out.ecoli60.mci.I14_6	0.044444444444444446	1.0
dump.out.ecoli60.mci.I60_242	dump.out.ecoli60.mci.I14_2	0.007058823529411765	0.75
dump.out.ecoli60.mci.I60_243	dump.out.ecoli60.mci.I14_117	1.0	1.0
dump.out.ecoli60.mci.I60_244	dump.out.ecoli60.mci.I14_4	0.011450381679389313	1.0
dump.out.ecoli60.mci.I60_245	dump.out.ecoli60.mci.I14_118	1.0	1.0
dump.out.ecoli60.mci.I60_246	dump.out.ecoli60.mci.I14_81	0.6	1.0
dump.out.ecoli60.mci.I60_247	dump.out.ecoli60.mci.I14_35	0.3	1.0
dump.out.ecoli60.mci.I60_248	dump.out.ecoli60.mci.I14_59	0.42857142857142855	1.0
dump.out.ecoli60.mci.I60_249	dump.out.ecoli60.mci.I14_42	0.3333333333333333	1.0
dump.out.ecoli60.mci.I60_250	dump.out.ecoli60.mci.I14_2	0.007075471698113208	1.0
dump.out.ecoli60.mci.I60_251	dump.out.ecoli60.mci.I14_1	0.001869158878504673	0.6666666666666666
dump.out.ecoli60.mci.I60_252	dump.out.ecoli60.mci.I14_21	0.13043478260869565	1.0
dump.out.ecoli60.mci.I60_253	dump.out.ecoli60.mci.I14_3	0.0071090047393364926	1.0
dump.out.ecoli60.mci.I60_254	dump.out.ecoli60.mci.I14_100	0.75	1.0
dump.out.ecoli60.mci.I60_255	dump.out.ecoli60.mci.I14_82	0.6	1.0
dump.out.ecoli60.mci.I60_256	dump.out.ecoli60.mci.I14_120	1.0	1.0
dump.out.ecoli60.mci.I60_257	dump.out.ecoli60.mci.I14_44	0.3333333333333333	1.0
dump.out.ecoli60.mci.I60_258	dump.out.ecoli60.mci.I14_2	0.007075471698113208	1.0
dump.out.ecoli60.mci.I60_259	dump.out.ecoli60.mci.I14_122	1.0	1.0
dump.out.ecoli60.mci.I60_260	dump.out.ecoli60.mci.I14_4	0.0076045627376425855	0.6666666666666666
dump.out.ecoli60.mci.I60_261	dump.out.ecoli60.mci.I14_19	0.08	0.6666666666666666
dump.out.ecoli60.mci.I60_262	dump.out.ecoli60.mci.I14_1	0.001869158878504673	0.6666666666666666
dump.out.ecoli60.mci.I60_263	dump.out.ecoli60.mci.I14_10	0.06	1.0
dump.out.ecoli60.mci.I60_264	dump.out.ecoli60.mci.I14_103	0.75	1.0
dump.out.ecoli60.mci.I60_265	dump.out.ecoli60.mci.I14_2	0.007075471698113208	1.0
dump.out.ecoli60.mci.I60_266	dump.out.ecoli60.mci.I14_38	0.3	1.0
dump.out.ecoli60.mci.I60_267	dump.out.ecoli60.mci.I14_1	0.002806361085126286	1.0
dump.out.ecoli60.mci.I60_268	dump.out.ecoli60.mci.I14_1	0.002806361085126286	1.0
dump.out.ecoli60.mci.I60_269	dump.out.ecoli60.mci.I14_1	0.001869158878504673	0.6666666666666666
dump.out.ecoli60.mci.I60_270	dump.out.ecoli60.mci.I14_124	1.0	1.0
dump.out.ecoli60.mci.I60_271	dump.out.ecoli60.mci.I14_1	0.001869158878504673	0.6666666666666666
dump.out.ecoli60.mci.I60_272	dump.out.ecoli60.mci.I14_1	0.002806361085126286	1.0
dump.out.ecoli60.mci.I60_273	dump.out.ecoli60.mci.I14_1	0.001869158878504673	0.6666666666666666
dump.out.ecoli60.mci.I60_274	dump.out.ecoli60.mci.I14_60	0.25	0.6666666666666666
dump.out.ecoli60.mci.I60_275	dump.out.ecoli60.mci.I14_127	1.0	1.0
dump.out.ecoli60.mci.I60_276	dump.out.ecoli60.mci.I14_10	0.0392156862745098	0.6666666666666666
dump.out.ecoli60.mci.I60_277	dump.out.ecoli60.mci.I14_85	0.6	1.0
dump.out.ecoli60.mci.I60_278	dump.out.ecoli60.mci.I14_1	0.001869158878504673	0.6666666666666666
